tanggal;harga
2023-01-01;75000
2023-01-02;75000
2023-01-03;75000
2023-01-04;75000
2023-01-05;75000
2023-01-06;75000
2023-01-07;85000
2023-01-08;85000
2023-01-09;85000
2023-01-10;85000
2023-01-11;90000
2023-01-12;90000
2023-01-13;85000
2023-01-14;85000
2023-01-15;80000
2023-01-16;80000
2023-01-17;80000
2023-01-18;80000
2023-01-19;80000
2023-01-20;65000
2023-01-21;65000
2023-01-22;65000
2023-01-23;65000
2023-01-24;65000
2023-01-25;65000
2023-01-26;65000
2023-01-27;60000
2023-01-28;60000
2023-01-29;60000
2023-01-30;60000
2023-01-31;60000
2023-02-01;25000
2023-02-02;25000
2023-02-03;20000
2023-02-04;20000
2023-02-05;20000
2023-02-06;27000
2023-02-07;28000
2023-02-08;28000
2023-02-09;28000
2023-02-10;28000
2023-02-11;28000
2023-02-12;28000
2023-02-13;30000
2023-02-14;30000
2023-02-15;30000
2023-02-16;30000
2023-02-17;30000
2023-02-18;30000
2023-02-19;30000
2023-02-20;30000
2023-02-21;30000
2023-02-22;35000
2023-02-23;35000
2023-02-24;35000
2023-02-25;35000
2023-02-26;35000
2023-02-27;35000
2023-02-28;35000
2023-03-01;35000
2023-03-02;35000
2023-03-03;30000
2023-03-04;30000
2023-03-05;30000
2023-03-06;30000
2023-03-07;30000
2023-03-08;30000
2023-03-09;30000
2023-03-10;30000
2023-03-11;30000
2023-03-12;30000
2023-03-13;30000
2023-03-14;30000
2023-03-15;27000
2023-03-16;27000
2023-03-17;27000
2023-03-18;28000
2023-03-19;28000
2023-03-20;30000
2023-03-21;30000
2023-03-22;30000
2023-03-23;30000
2023-03-24;30000
2023-03-25;30000
2023-03-26;30000
2023-03-27;30000
2023-03-28;25000
2023-03-29;25000
2023-03-30;25000
2023-03-31;25000
2023-04-01;15000
2023-04-02;25000
2023-04-03;25000
2023-04-04;25000
2023-04-05;30000
2023-04-06;30000
2023-04-07;30000
2023-04-08;30000
2023-04-09;30000
2023-04-10;30000
2023-04-11;30000
2023-04-12;30000
2023-04-13;30000
2023-04-14;30000
2023-04-15;30000
2023-04-16;30000
2023-04-17;30000
2023-04-18;30000
2023-04-19;30000
2023-04-20;30000
2023-04-21;30000
2023-04-22;25000
2023-04-23;25000
2023-04-24;25000
2023-04-25;25000
2023-04-26;25000
2023-04-27;25000
2023-04-28;25000
2023-04-29;20000
2023-04-30;25000
2023-05-01;15000
2023-05-02;25000
2023-05-03;25000
2023-05-04;25000
2023-05-05;30000
2023-05-06;30000
2023-05-07;30000
2023-05-08;30000
2023-05-09;30000
2023-05-10;30000
2023-05-11;30000
2023-05-12;30000
2023-05-13;30000
2023-05-14;30000
2023-05-15;30000
2023-05-16;30000
2023-05-17;30000
2023-05-18;30000
2023-05-19;30000
2023-05-20;30000
2023-05-21;30000
2023-05-22;25000
2023-05-23;25000
2023-05-24;25000
2023-05-25;25000
2023-05-26;25000
2023-05-27;25000
2023-05-28;25000
2023-05-29;20000
2023-05-30;25000
2023-05-31;25000
2023-06-01;25000
2023-06-02;25000
2023-06-03;25000
2023-06-04;25000
2023-06-05;25000
2023-06-06;25000
2023-06-07;25000
2023-06-08;30000
2023-06-09;28000
2023-06-10;28000
2023-06-11;28000
2023-06-12;18000
2023-06-13;25000
2023-06-14;25000
2023-06-15;25000
2023-06-16;25000
2023-06-17;25000
2023-06-18;25000
2023-06-19;25000
2023-06-20;25000
2023-06-21;30000
2023-06-22;30000
2023-06-23;30000
2023-06-24;30000
2023-06-25;30000
2023-06-26;30000
2023-06-27;30000
2023-06-28;30000
2023-06-29;30000
2023-06-30;30000
2023-07-01;30000
2023-07-02;40000
2023-07-03;40000
2023-07-04;40000
2023-07-05;40000
2023-07-06;40000
2023-07-07;40000
2023-07-08;40000
2023-07-09;40000
2023-07-10;40000
2023-07-11;35000
2023-07-12;30000
2023-07-13;30000
2023-07-14;40000
2023-07-15;40000
2023-07-16;40000
2023-07-17;40000
2023-07-18;40000
2023-07-19;40000
2023-07-20;25000
2023-07-21;25000
2023-07-22;25000
2023-07-23;25000
2023-07-24;25000
2023-07-25;25000
